prcp(mm/day),tmean(C),pet(mm),flow(mm)
0,4.11,0.76513783,2.146585995
3.53,6.46,0.792592626,1.99927127
0,5.52,0.820800244,1.851956544
0,3.79,0.796148413,1.662551898
0,5.19,0.849849593,1.534177637
0.64,6.715,0.871156295,1.45210229
0,0.59,0.760236916,1.359504463
0,-5.26,0.600434843,1.25427966
0,-2.175,0.714448694,1.165890825
0,2.4,0.84135591,1.083815478
0,-0.275,0.787265545,1.035412068
0,1.635,0.863785761,0.993322147
0,2.775,0.910001064,0.963859202
0.74,5.67,0.93750542,0.957545713
0,7.275,1.093512841,0.951232225
4.15,8.545,1.039836651,0.934396256
0,0.785,0.92501873,0.9112468
0,0.515,0.926296515,0.877574863
0,3.625,1.004485808,0.875470366
0,5.865,1.094783875,0.871261374
0,10.32,1.308951771,0.864947886
11.01,13.445,1.241722265,0.87336587
14.2,12.355,0.947715545,1.024889588
0,7.905,1.175481206,1.081710982
0,3.62,0.850219645,1.066979509
0,3.07,1.062471582,1.037516564
0,7.27,1.366186071,1.020680595
0,6.235,1.334083771,1.001740131
0,5.905,1.351418551,0.972277186
24.56,9.635,1.313555084,1.290056093
19.15,7.56,1.203199125,4.419441754
0.05,-2.115,1.069269784,4.040632461
0,-7.44,0.866621774,2.735844895
24.56,1.145,1.075000443,3.767047971
76.99,10.46,1.30801601,28.41069699
66.97,12.9,1.137274583,50.92880497
10.31,7.125,1.264101627,37.88092932
0,5.755,1.440998296,8.965153272
0.02,8.07,1.535289865,5.134970419
0,7.575,1.627584312,3.872272775
0,6.305,1.6302255,3.17778907
0,7.21,1.677938301,2.609575131
0,-0.485,1.274331933,2.31494568
0,2.345,1.546415283,2.060301656
0,5.625,1.797510387,1.835120576
3.35,9.34,1.924995491,1.786717166
5.4,14.74,1.656602037,2.378080563
7.08,10.585,1.879958447,2.399125523
0,2.795,1.262633064,2.441215445
0,5.135,1.874128907,2.29390072
0,11.39,2.298549702,2.125541034
0,10.75,2.364623562,1.96139034
0,5.53,1.630019397,1.790926158
0,3.94,1.960807296,1.647820425
0,4.505,2.058405255,1.525759653
0,6.565,2.17422804,1.437370818
1.4,10.57,2.2715305,1.3931764
8.81,11.63,1.510404007,1.397385393
0,6.545,1.668517992,1.351086479
0,4.725,1.47929102,1.262697644
0,7.945,2.299817788,1.19535377
3.74,11.18,2.376750622,1.153263848
11.24,9.59,1.648403282,1.20587625
0,6.76,2.52715559,1.199562762
0,11.07,2.888232898,1.134323383
0,15.67,3.067349924,1.094337958
15.06,20.06,2.525667211,1.13642788
39.7,19.58,2.484959808,9.322917604
0,14.13,3.216693143,6.629162631
0,12.66,3.20236398,3.619733246
0,15.835,3.461751228,2.714799934
0,21.365,3.090231977,2.29390072
12.39,14.565,2.634444174,2.125541034
41.26,9.795,1.903201449,3.893317735
11.7,4.515,1.890106949,11.49054856
0,4.485,2.62550322,6.376623102
0,8.755,3.112740531,4.103767343
0,12.685,3.474402369,3.15674411
0,14.1,3.543145761,2.58853017
0.85,16.3,3.025023801,2.230765838
6.64,16.635,2.559901068,2.05819716
0,17.505,3.879578252,1.868792513
0,19.075,3.902432871,1.702537323
10.35,19.56,2.9370134,1.639402441
5.11,19.485,2.540433596,1.710955307
3.97,13.405,3.073644714,1.637297945
0,13.44,3.74188443,1.534177637
13.62,15.085,2.686879988,1.569954071
10.71,17.165,2.20872182,1.675178874
41.18,18.26,2.112761868,2.988384424
31.64,18.365,2.620301263,9.996356348
0,15.27,4.135374286,8.081264921
0,17.43,4.32901488,4.419441754
0,17.335,4.233019898,3.261968913
13.96,17.885,2.758471742,2.904204581
2.64,15.865,3.159430042,4.187947186
0,11.415,2.77007327,3.283013874
0,10.6,3.145435782,2.609575131
0,12.39,3.668400437,2.272855759
0,13.75,3.897835254,1.980330805
0,16.07,4.338079494,1.765672205
0,18.685,3.816158131,1.620461976
1.44,19.745,3.054656296,1.538386629
23.15,18.93,2.454716985,1.776194686
38.93,17.99,2.306188544,7.492006021
0,17.42,3.386150731,10.03844627
0,19.095,4.423163881,5.324375065
0,14.98,4.63420827,3.493463481
0,15.355,4.666030237,2.735844895
8.43,17.585,3.451625188,2.462260406
24.51,19.535,2.382960508,3.388238678
16,15.04,3.153135773,4.082722382
0,13.505,4.596314829,3.051519306
0,15.805,4.494105749,2.462260406
11.3,17.925,3.411209654,2.904204581
7.49,20.945,3.109924002,3.009429385
28.39,19.91,2.528504983,4.272127029
14.54,20.36,2.541499197,7.744545549
26.89,20.26,2.939289009,7.007971924
17.5,21.38,3.595025427,5.029745615
0,22.655,5.169195049,3.535553403
0,23.17,5.197170017,2.735844895
0,23.665,5.221845367,2.272855759
22.7,23.835,4.023346511,3.219878992
18.73,23.875,3.794262579,4.756161125
5.59,22.86,3.64408736,4.440486714
0,22.445,4.395769322,3.240923953
0,22.16,4.128778714,2.357035602
0,23.135,4.621065778,2.003480262
0,23.875,4.932866435,1.782508174
0,23.915,3.852259405,1.732000268
97.43,23.32,2.71270709,22.30765838
100.35,22.41,2.665038748,159.5208023
13.92,24.27,3.529073217,51.7706034
10,24.585,3.894876967,9.470232329
0,24.96,5.349078693,5.156015379
0,25.025,5.199379729,3.703913089
0,25.32,5.42730695,2.988384424
19.8,24.79,4.346432062,2.798979777
0,24.91,5.93433388,2.335990641
6.85,25.645,4.485627806,2.077137624
21.99,23.22,4.354780284,2.420170484
0,21.3,5.257447551,2.209720877
0,20.175,5.510171807,1.830911584
0,19.995,5.58183217,1.649924921
0,21.19,5.547461053,1.496296708
0,21.325,5.668093317,1.388967408
7.27,22.015,4.046602967,1.327937022
3.65,23.075,3.388490082,1.330041518
1.52,24.25,4.769596877,1.277429116
11.14,25.275,4.166512694,1.304787565
0,25.42,5.312940715,1.27532462
9.64,25.505,3.89746723,1.308996558
0,24.225,5.188374516,1.197458266
0,22.425,5.880390333,1.100651446
0,23.725,5.867024219,1.048039044
0,24.555,5.812726167,1.016471603
14.07,25.255,4.704393033,1.018576099
27.71,23.86,4.292217493,1.250070667
12.93,23.34,4.134270711,1.487878724
20.71,23.555,4.071096103,1.915091427
5.4,24.01,3.664801129,2.066615144
0,20.585,3.742026626,1.664656394
0,20.2,4.724734635,1.378444928
0,23.175,5.07255678,1.243757179
0,23.72,5.663504359,1.15747284
0,24.255,5.640456052,1.096442454
0,26.45,5.754636529,1.03962106
0,26.9,5.804059226,0.984904162
4.04,25.52,5.117420327,1.197458266
2.37,25.41,4.97063143,1.037516564
0,25.18,5.163805579,1.050143541
0,25.155,5.568307898,0.955441217
0,25.82,5.481608617,0.917560288
0,25.38,5.611034697,0.898619823
18.72,25.465,4.466612203,0.909142304
0,25.985,5.554407179,0.917560288
8.18,26.16,4.365480366,0.902828815
0,27.05,5.40942996,0.87336587
5.2,26.435,4.62616119,0.829171453
0,25.32,5.401204876,0.799708508
0,23.435,5.395177609,0.774454555
0,24.3,5.311842914,0.749200602
1.32,24.16,4.854046326,0.761827578
0,24.64,4.976533426,0.759723082
12.57,25.065,4.108721571,0.79339502
0,25.91,5.514202827,0.757618586
0,26.375,5.444812465,0.719737657
0,26.455,5.763433919,0.688170216
0,27.18,5.734831414,0.669229751
1.3,27.585,5.348105012,0.713424169
24.8,25.925,3.793895262,0.822857965
1.24,24.06,4.36826689,0.843902925
1.13,23.115,4.462655133,0.782872539
0,23.79,5.036063331,0.740782618
0,24.01,5.000845933,0.707110681
0,24.38,4.656141661,0.688170216
0,22.075,5.25191585,0.667125255
0,23.475,5.471508961,0.639766806
0,24.495,5.595267459,0.618721846
0,25.825,5.242187975,0.606094869
0,25.865,5.089490865,0.599781381
7.87,26.155,4.294714326,0.593467893
0,26.64,5.21873206,0.669229751
0,26.99,5.084410431,0.667125255
4.52,27.07,4.475607592,0.62713983
7.86,26.655,3.380057108,0.614512853
32.68,24.505,3.150647504,1.02909858
0,23.135,4.219955595,1.117487415
0,22.63,4.822385792,0.854425406
0,21.705,4.770968543,0.74499161
0,21.92,4.537680938,0.702901688
0,21.84,4.79453224,0.683961224
0,23.12,4.937567176,0.652393783
0,23.98,4.587686156,0.643975798
10.31,25.04,3.453255953,0.675543239
0,22.47,4.594975104,0.705006185
0,20.135,4.563987522,0.658707271
0,19.07,4.185882466,0.629244326
0,20.37,4.455073176,0.616617349
0,22.375,4.675407902,0.603990373
0,23.265,4.54371231,0.585049908
0,23.41,4.176670714,0.576631924
4.41,23.675,2.623778629,0.582945412
4.25,25.75,2.970110549,0.625035334
0,25.96,3.4057412,0.622930838
18.05,24.615,2.914236504,0.665020759
30.31,24.34,2.769508676,1.115382919
0,25.28,3.826103318,0.871261374
0,26.135,4.135628896,0.738678122
0,25.275,4.002908046,0.669229751
0,24.745,3.862705823,0.629244326
0,23.73,3.639597294,0.603990373
0,23.675,3.879725627,0.593467893
0,24.44,3.865531502,0.585049908
0,24.365,4.013196314,0.564004948
0,24.78,3.921576322,0.547168979
5.92,24.435,2.889164296,0.538750995
3.16,24.455,2.746610332,0.650289287
0,25.295,3.839617288,0.643975798
0,26.2,3.966464454,0.593467893
0,26.195,3.917267546,0.572422932
0,26.52,4.027011242,0.547168979
0,26.57,3.991829225,0.534542003
0,26.56,3.903409091,0.51981053
0,25.5,3.795754354,0.511392546
7.41,25.27,3.055918101,0.505079058
6.54,20.69,2.96777431,0.524019522
0,11.775,2.831238155,0.532437507
0,12.165,2.923346785,0.507183554
0,14.95,3.09353195,0.502974561
0,19.43,3.060683512,0.502974561
11.3,18.635,1.723304229,0.513497042
23.25,16.13,2.138397283,0.610303861
0,13.65,2.751063016,0.73446913
0,12.135,2.731317202,0.633453318
0,13.905,2.820420793,0.572422932
0,16.985,2.970268034,0.547168979
0,18,2.971378597,0.532437507
0,18.1,2.917367505,0.494556577
0,18.23,2.832964471,0.484034097
0,19.655,2.838006333,0.481929601
0,20.875,2.733910509,0.47140712
10.33,19.33,2.185895649,0.473511616
15.32,10.165,1.818826779,0.521915026
0,6.75,1.941098472,0.536646499
0,8.75,2.060556794,0.532437507
0,10.915,2.150568529,0.51981053
0.1,13.18,2.194638703,0.51981053
3.6,13.41,1.908020845,0.51981053
0,14.52,2.196820925,0.51981053
0,13.27,2.067876733,0.524019522
0,12.815,1.94999901,0.51981053
13.88,12.24,1.392803439,0.526124018
0,8.11,1.7163068,0.553482467
0,8.97,1.736136289,0.559795955
0,12.14,1.83852357,0.559795955
0,13.6,1.873548531,0.557691459
0,11.215,1.67180578,0.553482467
0,13.215,1.755644685,0.540855491
0,15.155,1.808269192,0.53033301
17.26,17.285,1.290903109,0.572422932
30.87,18.605,1.078453859,0.68606572
23.38,19.605,1.265132423,1.959285844
0.51,20.455,1.533901368,1.521550661
3.32,21.17,1.318283941,1.151159352
3.87,20.85,1.689077723,1.229025707
0,20.325,1.635857112,0.974381682
0,18.775,1.40139421,0.841798429
0,16.55,1.455617198,0.763932075
11.08,14.79,1.338224072,0.747096106
0,6.92,1.157515377,0.774454555
0,2.225,0.893946395,0.747096106
0,-2.9,0.799588788,0.694483704
0,-2.5,0.819150335,0.662916263
0,1.845,0.953549382,0.646080294
0,5.04,1.031102672,0.63766231
0,3.64,0.942895109,0.631348822
0,-0.545,0.818036186,0.618721846
0,1.625,0.886295804,0.610303861
0,2.895,0.89928937,0.606094869
0,3.31,0.902332924,0.601885877
0,4.295,0.909998197,0.597676885
0,8.345,1.007472176,0.593467893
0,10.785,1.068451412,0.591363397
0,14.51,1.187471883,0.591363397
0,15.215,1.202464434,0.591363397
0,16.465,1.219816174,0.591363397
0.11,17.41,1.102629266,0.591363397
27.19,17.87,0.884693971,0.641871302
5.24,14.25,0.948467424,0.894410831
11.37,10.72,0.72713564,0.942814241
0,6.69,0.815339401,0.951232225
0,2.34,0.713491702,0.871261374
0,0.56,0.658188409,0.799708508
0,0.935,0.651704211,0.787081531
0,4.69,0.722704085,0.770245563
0,10.1,0.873249253,0.774454555
0,13.82,0.976583978,0.772350059
31.68,15.76,0.95429421,1.045934548
95.55,12.435,0.848632351,19.31927395
55.45,10.835,0.794493124,35.14508442
53.65,9.11,0.751719288,53.66464987
0,-0.94,0.548337118,16.58342906
0,-0.585,0.558244241,5.029745615
0,4.15,0.635644527,3.430328599
0,7.73,0.702312076,2.630620091
0,10.7,0.81205938,2.167630955
33.92,13.275,0.792259015,2.714799934
16.62,6.385,0.657937133,6.502892866
0,6.365,0.661570934,4.503621597
0,11.02,0.787303803,3.17778907
32.7,14.425,0.794389767,3.219878992
14.59,11.02,0.771064208,5.576914594
0,1.43,0.5294085,4.187947186
0,1.385,0.526688498,3.072564267
0,4.47,0.574100244,2.483305366
0,3.33,0.569335336,2.083451112
0,0.065,0.523579502,1.807762127
0,3.04,0.59916335,1.622566472
5.35,7.15,0.648928857,1.494192212
4.23,8.84,0.657574859,1.416325857
15.46,12.93,0.798890792,1.447893298
10.36,7.89,0.677721663,1.786717166
0,2.625,0.585827142,1.841434064
0,4.725,0.599856355,1.647820425
0,7.045,0.699362416,1.506819188
8.63,7.54,0.679897964,1.45210229
3,5.725,0.628496177,1.477356243
0,3.73,0.606333599,1.43105733
0,4.1,0.648307325,1.348981983
0,4.855,0.654330432,1.285847101
4.46,5.91,0.679003988,1.243757179
9.62,7.35,0.638536329,1.357399967
0,5.125,0.624473589,1.380549424
0,4.58,0.615673639,1.321623534
0,3.675,0.67051792,1.271115628
0,4.73,0.676614247,1.222712219
1.97,5.37,0.715009512,1.203771754
11.41,8.27,0.749722519,1.292160589
0,3.39,0.690359339,1.277429116
0,-1.29,0.589816543,1.207980746
14.81,1.86,0.640140002,1.180622297
9.44,7.205,0.746777572,1.279533612
18.65,4.12,0.709118609,2.081346616
0,-3.775,0.568964412,2.904204581
0,-5.695,0.547595228,2.167630955
0,-3.8,0.587299689,1.856165537
0,-0.02,0.651568705,1.681492362
0,-3.695,0.606355017,1.521550661
0,-0.23,0.712348258,1.391071904
0,3.64,0.818097933,1.317414542
0,4.965,0.860151108,1.269011132
9.39,7.615,0.860530956,1.281638109
0,2.59,0.81654868,1.285847101
0,3.49,0.884742257,1.20587625
0,5.205,0.937836536,1.132218887
0,5.52,0.972339644,1.077501989
0,6.775,1.025863994,1.050143541
0,7.925,1.099704344,1.033307572
0,7.015,1.092127468,1.008053619
0,7.735,1.128923246,0.97017269
0,5.76,1.082378608,0.965963698
0,4.2,1.05516255,0.947023233
0,7.455,1.164428533,0.928082768
0,9.375,1.259192475,0.9112468
0,9.01,1.272641378,0.902828815
0,4.255,1.089120429,0.883888351
0,3.52,1.111248849,0.850216414
0,0.315,0.957865769,0.831275949
0,-2.535,0.905104361,0.810230988
0,0.905,1.088135369,0.791290524
0,5.19,1.270870502,0.782872539
1.12,9.56,1.303835905,0.780768043
3.09,9.97,1.10351931,0.780768043
5.46,10.575,1.094201528,0.79339502
13.19,13.2,1.324988147,0.909142304
0,8.875,1.571147074,0.959650209
21.54,7.64,1.249001351,0.955441217
10.27,11.25,1.295134067,1.252175164
0,9.595,1.662054933,1.348981983
0,4.65,1.45610802,1.300578573
0,7.37,1.66206988,1.212189738
0,8.83,1.753261375,1.144845864
28.18,11.735,1.5212233,1.65623841
15.7,12.625,1.229996876,3.325103796
2.68,10.315,1.481977479,2.88315962
22.13,5.705,1.212259385,3.872272775
0,1.915,1.325411214,5.45064483
0,8.13,1.915662594,3.598688285
0,9,1.980564982,2.693754974
0,8.6,1.997692405,2.167630955
0,11.295,2.208858327,1.849852048
0,13.89,2.392834498,1.668865386
0,16.255,2.411449669,1.521550661
0,17.18,2.201328974,1.399489889
0,16.045,2.072252679,1.338459503
0,16.52,2.434956108,1.252175164
0,15.065,2.627774757,1.163786328
0,16.635,2.662083038,1.245861675
70.25,12.05,2.035500044,25.8853017
2.89,0.51,1.64762975,18.11971119
0,0.835,1.751153722,5.576914594
0,2.78,1.791899151,3.788092932
0,3.785,2.003265481,2.820024738
0,5.28,2.122173262,2.29390072
0,3.74,2.224616123,1.948763364
0,8.5,2.534691703,1.710955307
19.31,15.08,1.925076044,2.043465687
15.32,11.775,1.889970967,3.851227814
0,5.955,2.169275543,3.261968913
0,4.69,2.309089492,2.609575131
5.23,7.1,1.946492843,2.29390072
10.45,4.68,1.673220192,2.29390072
0,4.55,2.470671634,2.167630955
3.37,8.22,2.090135025,1.917195923
2.77,9.355,2.249093652,1.788821662
0,8.785,2.711335716,1.681492362
0,6.04,2.653212781,1.586790039
0,10.115,2.588668173,1.496296708
6.5,10.79,1.995293072,1.529968645
1.05,10.36,2.550805784,1.555222598
0,7.835,2.565295031,1.426848338
0,2.505,2.319078073,1.342668495
0,2.195,2.555615341,1.271115628
0,7.005,3.037740161,1.226921211
0,8.15,3.211515106,1.180622297
0,9.585,3.14435417,1.134323383
6.27,12.55,2.174112527,1.119591911
0,13.195,3.604578694,1.117487415
0,15.395,3.902826514,1.079606486
0,16.395,4.030702446,1.048039044
0,18.055,4.133092562,1.016471603
0,17.92,4.003015773,0.989113154
0,15.67,3.8631384,0.963859202
0,17.845,4.272035633,0.940709745
0.59,19.915,4.203671577,0.930187264
10.02,19.78,3.323088625,1.058561525
0,20.81,3.996770107,1.052248037
0,20.02,4.190187946,0.982799666
2.01,20.515,3.388254064,0.97017269
15.5,18.8,2.107732576,1.111173927
13.66,15.99,2.196285028,1.464729267
0,15.01,3.982209046,1.525759653
0,17.115,4.541111723,1.361608959
0,20.165,4.593776473,1.243757179
0,16.56,4.423563772,1.163786328
0,9.025,2.976300518,1.094337958
0,7.195,2.422764378,1.052248037
0.45,7.3,3.328092955,1.014367107
0,9.23,3.882810647,0.98069517
0.15,13.405,4.34080073,0.949127729
0,18.44,4.673727195,0.92176928
0,19.73,4.713188131,0.890201839
0,20.45,4.27438656,0.86284339
0,15.15,4.615759953,0.833380445
0,12.88,4.471014688,0.808126492
0,10.325,3.713816102,0.797604012
0,10.21,3.734932881,0.784977035
0,11.925,4.085145209,0.772350059
0,13.445,4.492566689,0.761827578
0,16.8,4.698046451,0.751305098
0,17.77,4.94053797,0.738678122
0,19.31,4.92105388,0.736573626
38.69,18.97,3.358676682,1.351086479
0,17.825,4.723827142,1.374235936
0,19.69,4.864343797,1.018576099
0,21.37,4.809242907,0.877574863
0,20.945,4.303580345,0.822857965
0,22.425,4.542381102,0.787081531
0.26,22.52,4.484466401,0.913351296
16.07,23.005,3.733981146,0.883888351
5.79,22.4,3.369374704,0.816544476
0,19.99,4.327160756,0.940709745
0,20.08,4.934581758,0.829171453
0,19.205,4.479811741,0.747096106
0,15.85,3.370061015,0.73446913
0,17.115,3.590531724,0.73446913
0,14.525,3.556846261,0.732364633
0,14.94,3.28275867,0.717633161
14.4,15.265,2.258338753,0.723946649
14.08,15.39,2.981118352,0.883888351
0,15.26,4.682017401,0.904933311
0,16.395,4.655973274,0.761827578
0,17.89,4.633852335,0.721842153
17.28,18.775,3.165164155,0.848111917
44.26,18.08,2.320481454,1.683596859
9.96,18.91,3.4431482,2.104496073
0,20.58,5.191878134,2.58853017
22.38,22.455,3.591004296,2.251810798
0,23.115,4.209564905,1.946658868
10.73,23.165,3.257023878,1.820389103
0,22.265,5.044523781,1.641506937
3.69,22.725,4.127462089,1.515237173
20.73,22.38,3.6797994,1.43105733
0,21.105,3.576517411,1.388967408
0,21.565,4.069928303,1.283742605
0,22.76,5.393607583,1.189040281
0,24.195,5.895660148,1.13642788
0,25.08,5.755270565,0.907037808
0,25.17,5.386115235,0.85232091
29,22.915,4.599444966,0.98069517
0,23.38,5.742322616,0.961754705
0,21.14,5.590490688,1.584685543
0,16.225,5.430083137,1.073292997
0,17.375,5.48380854,0.87336587
0,19.95,5.787465387,0.79339502
0,23.67,5.817473533,0.75551409
26.48,24.015,3.904328307,1.576267559
12.68,19.715,3.872020361,3.788092932
0,19.19,5.46959791,1.995062277
0,21.01,5.689977398,1.3931764
0,22.015,4.752338509,1.13642788
6.39,23.19,2.991037032,1.144845864
1.04,25.3,4.639855373,1.056457029
28.55,25.29,3.990219581,1.085919974
4.37,23.84,4.657139923,1.607835
19.82,23.455,3.572947634,1.955076852
11.5,24.105,3.93613235,3.598688285
0,24.965,5.357173036,2.630620091
0,25.43,5.654424978,1.875106001
0,25.475,5.595555415,1.481565236
0,25.865,5.479615382,1.229025707
0,26.19,5.440568044,1.085919974
0,25.95,5.546595489,0.987008658
0,25.745,5.720860492,0.904933311
0,26.075,5.134746327,0.843902925
6.61,25.555,3.174987346,0.869156878
4.81,24.145,3.661470185,0.915455792
10.68,23.895,3.137177792,0.86284339
0,22.815,4.986118458,0.806021996
0,23.53,5.342450966,0.753409594
0,23.95,5.458537821,0.711319673
0,24.36,5.294652015,0.723946649
9.94,24.31,3.70363893,0.831275949
2.54,25.47,4.223294693,0.879679359
1.33,25.375,4.613293252,0.850216414
0,25.88,4.817352599,0.812335484
0,25.205,4.987559302,0.87336587
0,25.43,4.820463949,0.782872539
1.18,23.315,4.842852097,0.719737657
0,22.96,5.002384072,0.683961224
0,22.875,4.863893438,0.675543239
8.9,25.105,3.500270736,0.761827578
6.1,22.09,4.029144559,0.816544476
0,20.765,5.055327503,0.726051145
0,20.97,4.935562185,0.673438743
0,22.465,4.419855008,0.679752232
0,22.69,3.984292583,0.709215177
2.11,22.78,3.134655035,0.671334247
2.46,23.78,3.418429317,0.669229751
0,25.48,4.788716231,0.652393783
0,25.275,4.765531438,0.631348822
3.13,25.38,4.856987167,0.625035334
0,25.13,5.009251404,0.62713983
0,24.3,4.556437625,0.658707271
0,23.645,4.118626383,0.671334247
2.21,21.04,4.522930561,0.618721846
2.46,18.79,3.801689546,0.606094869
0,17.65,4.377304195,0.721842153
0,18.615,4.433093907,0.62713983
0,19.67,4.651479511,0.595572389
0,20.1,4.619240055,0.574527428
0,21.545,4.451088609,0.566109444
0,21.585,4.006456596,0.555586963
0,22.63,4.44755224,0.551377971
0,22.925,3.920528647,0.559795955
20.36,23.22,3.313147777,0.593467893
5.74,24.81,3.958939461,0.692379208
0,25.08,4.359793415,0.759723082
5.26,24.655,3.576765224,0.719737657
58.95,18.21,3.00145137,3.072564267
0,16.97,4.132074143,2.146585995
0,17.76,4.222104963,1.296369581
0,19.575,4.394116348,1.02909858
0,21.665,4.278481159,0.898619823
0,21.55,4.001000278,0.955441217
50.47,21.095,2.654966409,9.154557918
33.86,20.995,2.039505027,7.071106806
0,22.28,3.526328345,3.093609228
0,23.37,3.791006952,2.230765838
0,23.45,3.966962984,1.811971119
0,23.805,4.109909838,1.416325857
0,24.21,4.016780842,1.191144777
0,23.885,3.727009182,1.054352533
0,18.48,3.80578266,0.942814241
0,17.025,3.670445917,0.85232091
0,18.66,3.690190168,0.79339502
0,21.13,3.754934917,0.753409594
0,20.02,3.604476235,0.719737657
0,20.415,3.629355044,0.688170216
0,20.265,3.370138362,0.683961224
46.88,22.015,2.517477289,1.908777938
0.02,22.83,2.934838866,2.504350327
0,21.755,2.905899495,1.616252984
3.66,23.12,2.788044973,1.252175164
45.38,22.64,2.203105971,1.761463213
12.84,16.22,2.286609775,2.925249542
0,15.56,2.290154696,2.335990641
0,16.28,2.50001311,1.679387866
14.09,17.83,1.941122405,1.418430353
0,17.825,2.408976589,2.609575131
0,15.465,2.75497949,1.969808324
0,14.93,2.704928873,1.412116865
0,12.54,2.581669893,1.178517801
0,12.74,2.600419727,1.050143541
0,13.61,2.601609058,0.989113154
0,14.05,2.585036167,0.928082768
3.53,15.765,2.061667013,0.885992847
0.92,15.875,2.03260584,0.858634398
0,13.825,2.375752378,0.818648972
0,13.945,2.319947938,0.782872539
0,15.885,2.274347577,0.75551409
0,12.235,2.217654438,0.738678122
0,12.605,2.200928427,0.723946649
0,11.72,2.104101603,0.726051145
0,10.505,2.000738118,0.707110681
0,13.315,2.135234714,0.694483704
0,16.65,2.247997949,0.715528665
0,19.29,2.279652885,0.698692696
14.26,16.66,1.712106567,0.73446913
9.69,10.675,1.531039125,0.818648972
0,10.25,1.703984841,0.766036571
0,7.465,1.597963885,0.719737657
0,8.52,1.607946537,0.698692696
0,13.835,1.781351077,0.6965882
0,15.935,1.846879135,0.713424169
0,16.3,1.879492654,0.711319673
0,16.07,1.826269594,0.705006185
0,14.835,1.726914355,0.681856728
0,13.325,1.628971731,0.673438743
11.2,15.36,1.430688311,0.694483704
0,13.54,1.4306026,0.778663547
0,12.03,1.458707103,0.784977035
6.08,12.955,1.201699152,0.757618586
9.43,15.82,0.996813376,0.799708508
8.2,17.61,1.100269756,0.778663547
15.04,16.37,1.120088916,0.808126492
0,12.085,1.357556465,0.888097343
11.14,13.485,1.218529234,0.92176928
11.44,5.515,0.780082238,1.020680595
0,2.6,0.610330423,1.031203076
0,1.79,0.80173941,0.963859202
0,3.765,0.948220649,0.896515327
0,7.38,1.060147749,0.850216414
0,11.485,1.110710793,0.81443998
1.26,13.795,1.04246891,0.797604012
22.58,13.83,1.018157212,0.860738894
0,6.8,0.977303756,1.121696407
0,4.91,0.890117892,1.21639873
0,5.875,0.903081926,1.066979509
0,5.565,0.884685233,0.974381682
0,9.255,0.959795622,0.923873776
0,9.83,0.933461608,0.9112468
0,11.045,0.941229961,0.885992847
0,13.73,1.064911246,0.869156878
25.61,16.045,0.94833837,1.02909858
34.65,16.205,0.980122426,2.88315962
0,11.375,0.955257734,3.556598364
10.78,8.095,0.732650574,2.272855759
14.68,11.1,0.862208637,2.188675916
0,8.645,0.848541329,3.009429385
0,4.01,0.667224362,2.378080563
0,1.225,0.579164244,1.938240883
0,1.29,0.596271989,1.681492362
0,0.925,0.622689377,1.496296708
0,2.385,0.642172563,1.355295471
0,2.69,0.646072977,1.252175164
0,2.42,0.626187385,1.153263848
11.53,4.265,0.651153566,1.092233462
0.45,2.305,0.613699093,1.085919974
0,-0.315,0.533957655,1.026994084
4.81,0.99,0.541748939,0.989113154
0,2.265,0.575739395,0.963859202
0,1.87,0.583548572,0.961754705
9.73,3.43,0.580399133,1.064875013
0.45,3.99,0.6170864,1.100651446
0,0.14,0.544929245,1.050143541
0,2.32,0.578634314,1.014367107
0,4.86,0.640477954,0.984904162
0,8.405,0.738738217,0.959650209
5.68,9.405,0.706683766,0.976486178
3.18,6.105,0.658313545,0.989113154
0,3.51,0.612295158,0.976486178
0,6.305,0.659801315,0.959650209
25.2,7.52,0.693344775,1.245861675
0,4.365,0.645122725,1.689910347
10.62,7.4,0.687003194,1.696223835
23.2,10.565,0.771063562,2.925249542
4.14,1.73,0.556933123,4.693026243
0,-2.225,0.509369649,3.535553403
5.88,0.215,0.544183601,2.946294502
2.84,0.745,0.565012373,2.567485209
4.07,4.875,0.613773415,2.29390072
0,7.89,0.746469534,2.077137624
0,11.495,0.857948183,1.877210497
0,9.695,0.80849671,1.723582284
